Designator,Mid X,Mid Y,Rotation,Layer
D1,127.0,-55.75,90.0,bottom
D10,127.025,-64.0,0.0,bottom
D11,146.025,-64.0,0.0,bottom
D12,146.025,-83.0,0.0,bottom
D13,127.025,-83.0,0.0,bottom
D14,156.31,-45.1,180.0,bottom
D2,146.0,-55.75,90.0,bottom
D3,165.0,-55.75,90.0,bottom
D4,127.0,-74.81,90.0,bottom
D5,146.25,-74.81,90.0,bottom
D6,165.25,-74.81,90.0,bottom
D7,127.0,-93.69,90.0,bottom
D8,146.0,-93.69,90.0,bottom
D9,165.0,-93.69,90.0,bottom
J1,111.0,-35.31,0.0,top
SW1,117.5,-52.41,0.0,top
SW10,157.75,-34.75,0.0,top
SW2,136.5,-52.41,0.0,top
SW3,155.5,-52.41,0.0,top
SW4,117.5,-71.41,0.0,top
SW5,136.5,-71.41,0.0,top
SW6,155.5,-71.41,0.0,top
SW7,117.5,-90.41,0.0,top
SW8,136.5,-90.41,0.0,top
SW9,155.5,-90.41,0.0,top
U1,136.875,-34.62,0.0,bottom
